ja-JP	de-DE	en-US	es-ES	fr-FR	it-IT	pt-PT	zh-HK	th-TH	tr-TR	zh-TW	ar-SA	pl-PL	el-GR	id-ID	sv-SE	ko-KR	hu-HU	cs-CZ	da-DK	fi-FI	ro-RO	no-NO	sk-SK	ru-RU	nl-BE	zh-CN	en-AU	en-IE	en-ZA	en-GB	es-MX	fr-CA	pt-BR	nl-NL	language
英語	Englisch 	English 	Inglés 	anglais 	Inglese 	Inglês 	英语 	ภาษาอังกฤษ 	ingilizce 	英语 	الإنجليزية 	angielski 	Αγγλικά 	Bahasa Inggris 	Engelska 	영어 	English 	angličtina 	engelsk 	Englanti 	engleză 	Norsk 	angličtina 	Английский 	Engels 	英語 	English 	English 	English 	English 	Inglés 	anglais 	Inglês 	Engels 	en-IE
ギリシャ語	Griechisch 	Greek 	griego 	grecque 	greco 	grego 	希腊 	ภาษากรีก 	Yunan 	希腊 	اليونانية 	Grecki 	Ελληνική 	Yunani 	grekiska 	그리스어 	görög 	Greek 	Græsk 	Kreikkalainen 	greacă 	Gresk 	greek 	Греческий 	Griekse 	希臘 	Greek 	Greek 	Greek 	Greek 	griego 	grecque 	grego 	Griekse 	el-GR
インドネシア語	Indonesier 	Indonesian 	Indonesia 	indonésien 	indonesiano 	indonésia 	印尼 	อินโดนีเซีย 	Endonezya 	印尼 	الإندونيسية 	Indonezyjski 	Ινδονησίας 	Indonesia 	indonesiska 	인도네시아어 	indonéz 	indonesian 	Indonesisk 	Indonesialainen 	indoneziană 	Indonesisk 	indonesian 	индонезийский 	Indonesische 	印尼 	Indonesian 	Indonesian 	Indonesian 	Indonesian 	Indonesia 	indonésien 	indonésia 	Indonesische 	id-ID
スウェーデン語	Schwedisch 	Swedish 	Sueco 	suédois 	svedese 	Sueco 	瑞典 	สวีเดน 	İsveç 	瑞典 	السويدية 	Szwedzki 	Σουηδικά 	Swedia 	svenska 	스웨덴어 	Svéd 	Swedish 	Svensk 	Ruotsin 	suedeză 	svensk 	swedish 	Шведский 	Zweeds 	瑞典 	Swedish 	Swedish 	Swedish 	Swedish 	Sueco 	suédois 	Sueco 	Zweeds 	sv-SE
トルコ語	Türkisch 	Turkish 	turco 	turc 	turco 	Turco 	土耳其 	ตุรกี 	türk 	土耳其 	التركية 	Turecki 	Τουρκικά 	Turki 	turkiska 	터키어 	török 	Turkish 	Tyrkisk 	Turkish 	Turkish 	Turkish 	turkish 	Турецкий 	Turkse 	土耳其 	Turkish 	Turkish 	Turkish 	Turkish 	turco 	turc 	Turco 	Turkse 	tr-TR
ポルトガル語	portugiesische Sprache 	Portuguese language 	lengua portuguesa 	langue portugaise 	Portoghese 	em português 	葡萄牙语 	ภาษาโปรตุเกส 	Portekizce dil 	葡萄牙语 	اللغة البرتغالية 	język portugalski 	πορτογαλική γλώσσα 	bahasa Portugis 	portugisiska 	포르투갈어 	portugál nyelv 	portugalština 	portugisiske sprog 	portugalin kieli 	în limba portugheză 	Portugisisk språk 	Portugalčina 	Португальский язык 	Portugeestalige 	葡萄牙語 	Portuguese language 	Portuguese language 	Portuguese language 	Portuguese language 	lengua portuguesa 	langue portugaise 	em português 	Portugeestalige 	pt-PT
韓国語	koreanische Sprache 	Korean language 	idioma coreano 	langue coréenne 	lingua coreana 	idioma coreano 	韩国语 	ภาษาเกาหลี 	Kore dili 	韩国语 	اللغة الكورية 	koreański język 	κορεατική γλώσσα 	bahasa Korea 	koreanska språket 	한국어 	koreai nyelv 	korejský jazyk 	koreanske sprog 	Korean kieli 	limba coreeană 	koreanske språket 	kórejský jazyk 	корейский язык 	Koreaanse taal 	韓國語 	Korean language 	Korean language 	Korean language 	Korean language 	idioma coreano 	langue coréenne 	idioma coreano 	Koreaanse taal 	ko-KR
ハンガリー語	Ungarisch 	Hungarian 	húngaro 	hongroise 	ungherese 	Hungarian 	匈牙利 	ฮังการี 	Macar 	匈牙利 	الهنغارية 	Węgierski 	Hungarian 	Hungaria 	ungerska 	헝가리어 	magyar 	Hungarian 	Hungarian 	Hungarian 	maghiară 	Ungarsk 	hungarian 	Венгерский 	Hungarian 	匈牙利 	Hungarian 	Hungarian 	Hungarian 	Hungarian 	húngaro 	hongroise 	Hungarian 	Hungarian 	hu-HU
チェコ語	Tschechisch 	Czech 	Checa 	tchèque 	ceco 	Checa 	捷克 	สาธารณรัฐ 	Çek 	捷克 	التشيك 	Czeska 	Τσεχία 	Ceko 	tjeckiska 	체코 어 	cseh 	České 	Tjekkisk 	Tšekki 	Cehia 	Czech 	Českej 	Чехия 	Tsjechische 	捷克 	Czech 	Czech 	Czech 	Czech 	Checa 	tchèque 	Checa 	Tsjechische 	cs-CZ
デンマーク語	Dänisch 	Danish 	danés 	danois 	danese 	Dinamarquês 	丹麦 	เดนมาร์ก 	Danimarka 	丹麦 	الدانماركية 	Duński 	Danish 	Danish 	Danska 	덴마크어 	dán 	danish 	dansk 	Danish 	daneză 	Danish 	danish 	Датский 	Danish 	丹麥 	Danish 	Danish 	Danish 	Danish 	danés 	danois 	Dinamarquês 	Danish 	da-DK
スペイン語	Spanisch 	Spanish 	Español 	espagnol 	spagnolo 	Espanhol 	西班牙 	ภาษาสเปน 	İspanyolca 	西班牙 	الأسبانية 	hiszpański 	Ισπανικά 	Spanyol 	Spanska 	스페인어 	Spanish 	Španělština 	Spansk 	Espanjalainen 	Spaniolă 	Spansk 	Španielčina 	Испанский 	Spaans 	西班牙 	Spanish 	Spanish 	Spanish 	Spanish 	Español 	espagnol 	Espanhol 	Spaans 	es-MX
フランス語	Französisch 	French 	francés 	français 	francese 	Francês 	法国 	ภาษาฝรั่งเศส 	Fransız 	法国 	الفرنسية 	francuski 	Γαλλικά 	Prancis 	Franska 	프랑스 	French 	francouzština 	Fransk 	Ranskan 	franceză 	Fransk 	Francúzsky 	Французский 	frans 	法國 	French 	French 	French 	French 	francés 	français 	Francês 	frans 	fr-CA
オランダ語	Holländisch 	Dutch 	Holandés 	néerlandais 	olandese 	Holandês 	荷兰 	ดัตช์ 	Hollandalı 	荷兰 	الهولندية 	Holenderski 	Ολλανδικά 	Belanda 	Holländska 	네덜란드 	Dutch 	Dutch 	Hollandsk 	Dutch 	Dutch 	Dutch 	dutch 	Голландский 	Nederlands 	荷蘭 	Dutch 	Dutch 	Dutch 	Dutch 	Holandés 	néerlandais 	Holandês 	Nederlands 	nl-NL
フィンランド語	Finnisch 	Finnish 	finlandés 	finlandais 	finlandese 	finlandês 	芬兰 	ฟินแลนด์ 	Fince 	芬兰 	الفنلندية 	Fiński 	Φινλανδικά 	Finlandia 	finska 	핀란드어 	finn 	Finnish 	Finsk 	Suomi 	finlandeză 	Finsk 	finnish 	Финский 	Finnish 	芬蘭 	Finnish 	Finnish 	Finnish 	Finnish 	finlandés 	finlandais 	finlandês 	Finnish 	fi-FI
スペイン語	Spanisch 	Spanish 	Español 	espagnol 	spagnolo 	Espanhol 	西班牙 	ภาษาสเปน 	İspanyolca 	西班牙 	الأسبانية 	hiszpański 	Ισπανικά 	Spanyol 	Spanska 	스페인어 	Spanish 	Španělština 	Spansk 	Espanjalainen 	Spaniolă 	Spansk 	Španielčina 	Испанский 	Spaans 	西班牙 	Spanish 	Spanish 	Spanish 	Spanish 	Español 	espagnol 	Espanhol 	Spaans 	es-ES
イタリア語	Italienisch 	Italian 	italiano 	italien 	italiano 	Italiano 	意大利 	อิตาเลียน 	İtalyan 	意大利 	الإيطالية 	Włoski 	Ιταλικά 	Italia 	Italienska 	이태리어 	olasz 	Italská 	Italiensk 	Italian 	italiană 	Italiensk 	talianska 	Итальянский 	Italiaanse 	意大利 	Italian 	Italian 	Italian 	Italian 	italiano 	italien 	Italiano 	Italiaanse 	it-IT
ルーマニア語	Rumänisch 	Romanian 	rumano 	roumain 	rumeno 	Romeno 	罗马尼亚 	โรมาเนีย 	Romen 	罗马尼亚 	الرومانية 	Rumuński 	Ρουμανικά 	Rumania 	rumänska 	루마니아어 	román 	Rumunský 	rumænsk 	Romanian 	română 	Rumensk 	rumunský 	Румынский 	Roemeens 	羅馬尼亞 	Romanian 	Romanian 	Romanian 	Romanian 	rumano 	roumain 	Romeno 	Roemeens 	ro-RO
ノルウェー語	Norwegisch 	Norwegian 	Noruega 	norvégien 	norvegese 	Norwegian 	挪威 	นอร์เวย์ 	Norveç 	挪威 	النرويجية 	Norweski 	Νορβηγικά 	Norwegia 	norska 	노르웨이어 	norvég 	Norwegian 	Norwegian 	Norja 	Norwegian 	Norsk 	norwegian 	Норвежский 	Norwegian 	挪威 	Norwegian 	Norwegian 	Norwegian 	Norwegian 	Noruega 	norvégien 	Norwegian 	Norwegian 	no-NO
中国語	Chinesisch 	Chinese 	chino 	chinois 	cinese 	Chinese 	中国 	จีน 	Çin 	中国 	الصينية 	Chiński 	Chinese 	Cina 	kinesiska 	중국어 	kínai 	Chinese 	Kinesisk 	Chinese 	chineză 	Kinesisk 	Chinese 	Китайский 	Chinees 	中國 	Chinese 	Chinese 	Chinese 	Chinese 	chino 	chinois 	Chinese 	Chinees 	zh-HK
中国語	Chinesisch 	Chinese 	chino 	chinois 	cinese 	Chinese 	中国 	จีน 	Çin 	中国 	الصينية 	Chiński 	Chinese 	Cina 	kinesiska 	중국어 	kínai 	Chinese 	Kinesisk 	Chinese 	chineză 	Kinesisk 	Chinese 	Китайский 	Chinees 	中國 	Chinese 	Chinese 	Chinese 	Chinese 	chino 	chinois 	Chinese 	Chinees 	zh-TW
スロバキア語	Slowakisch 	Slovak 	Eslovaca 	slovaque 	slovacco 	Slovak 	斯洛伐克 	สโลวัก 	Slovak 	斯洛伐克 	السلوفاكية 	Słowacki 	Σλοβακίας 	Slowakia 	Slovakien 	슬로바키아어 	szlovák 	Slovak 	slovakisk 	Slovakian 	slovacă 	Slovakisk 	slovenský 	Словацкий 	Slowaakse 	斯洛伐克 	Slovak 	Slovak 	Slovak 	Slovak 	Eslovaca 	slovaque 	Slovak 	Slowaakse 	sk-SK
中国語	Chinesisch 	Chinese 	chino 	chinois 	cinese 	Chinese 	中国 	จีน 	Çin 	中国 	الصينية 	Chiński 	Chinese 	Cina 	kinesiska 	중국어 	kínai 	Chinese 	Kinesisk 	Chinese 	chineză 	Kinesisk 	Chinese 	Китайский 	Chinees 	中國 	Chinese 	Chinese 	Chinese 	Chinese 	chino 	chinois 	Chinese 	Chinees 	zh-CN
ロシア語	Russisch 	Russian 	Rusia 	russe 	russo 	Russian 	俄罗斯 	รัสเซีย 	Rus 	俄罗斯 	الروسية 	rosyjski 	Ρωσική 	Rusia 	Ryska 	러시아어 	orosz 	Ruská 	russisk 	Venäjän 	rusă 	russisk 	ruská 	русский 	Russisch 	俄羅斯 	Russian 	Russian 	Russian 	Russian 	Rusia 	russe 	Russian 	Russisch 	ru-RU
英語	Englisch 	English 	Inglés 	anglais 	Inglese 	Inglês 	英语 	ภาษาอังกฤษ 	ingilizce 	英语 	الإنجليزية 	angielski 	Αγγλικά 	Bahasa Inggris 	Engelska 	영어 	English 	angličtina 	engelsk 	Englanti 	engleză 	Norsk 	angličtina 	Английский 	Engels 	英語 	English 	English 	English 	English 	Inglés 	anglais 	Inglês 	Engels 	en-GB
フランス語	Französisch 	French 	francés 	français 	francese 	Francês 	法国 	ภาษาฝรั่งเศส 	Fransız 	法国 	الفرنسية 	francuski 	Γαλλικά 	Prancis 	Franska 	프랑스 	French 	francouzština 	Fransk 	Ranskan 	franceză 	Fransk 	Francúzsky 	Французский 	frans 	法國 	French 	French 	French 	French 	francés 	français 	Francês 	frans 	fr-FR
ヒンディー語	Hindi	Hindi	Hindi	hindi	hindi	Hindi	印地文	ภาษาฮินดี	Hintçe	印地文	الهندية	hindi	Hindi	Hindi	Hindi	힌디어	Hindi	Hindština	Hindi	hindi	hindi	hindi	Hindčina	Хинди	Hindi	印地文	Hindi	Hindi	Hindi	Hindi	Hindi	hindi	Hindi	Hindi	hi-IN
