ja-JP	de-DE	en-US	es-ES	fr-FR	it-IT	pt-PT	zh-HK	th-TH	tr-TR	zh-TW	ar-SA	pl-PL	el-GR	id-ID	sv-SE	ko-KR	hu-HU	cs-CZ	da-DK	fi-FI	ro-RO	no-NO	sk-SK	ru-RU	nl-BE	zh-CN	en-AU	en-IE	en-ZA	en-GB	es-MX	fr-CA	pt-BR	nl-NL	category
すみません	Entschuldigung.	Excuse me.	Discúlpeme.	Excusez-moi.	Scusami.	Com licença.	不好意思。	ขอโทษ	Afedersiniz.	不好意思。	عذرا.	Przepraszam.	Με συγχωρείτε.	Permisi.	Ursäkta mig.	실례합니다. 	Elnézést.	Omluvte mě.	Undskyld mig.	Anteeksi.	Scuză-mă.	Unnskyld.	Prepáčte.	Извините.	Neemt u mij niet kwalijk.	不好意思。	Excuse me.	Excuse me.	Excuse me.	Excuse me.	Discúlpeme.	Excusez-moi.	Com licença.	Neemt u mij niet kwalijk.	Life
ごめんなさい	Es tut mir leid.	I'm sorry.	Lo siento.	Je suis désolé.	Mi dispiace.	Desculpe.	我很抱歉。	ฉันเสียใจ	Üzgünüm.	我很抱歉。	أنا آسف.	Przykro mi.	Λυπάμαι.	Maaf.	Förlåt.	미안합니다.	Sajnálom.	Promiňte.	Jeg beklager.	Olen pahoillani.	Îmi pare rău.	Jeg beklager.	Je mi to ľúto.	Мне жаль.	Het spijt me.	抱歉。	I'm sorry.	I'm sorry.	I'm sorry.	I'm sorry.	Lo siento.	Je suis désolé.	Desculpe.	Het spijt me.	Life
はい	Ja.	Yes.	Sí.	Oui.	Sì.	Sim.	是的。	ใช่	Evet.	是的。	نعم.	Tak.	Ναι.	Ya.	Ja.	네. 	Igen.	Ano.	Ja.	Kyllä.	Da.	Ja.	Áno.	Да.	Ja.	是。	Yes.	Yes.	Yes.	Yes.	Sí.	Oui.	Sim.	Ja.	Life
いいえ	Nein.	No.	No.	Non.	No.	Não.	不是。	ไม่	Hayır.	不是。	لا.	Nie.	Όχι.	Enggak.	Nej.	아니오. 	Nem.	Ne.	Nej.	Ei.	Nu.	Nei.	Nie.	Нет.	Nee.	不是。	No.	No.	No.	No.	No.	Non.	Não.	Nee.	Life
わかりません	Ich weiß nicht.	I don't know.	No lo sé.	Je ne sais pas.	Non lo so.	Não sei.	我不知道。	ไม่ทราบ	Bilmiyorum.	我不知道。	لست أدري.	Nie wiem.	Δεν ξέρω.	Enggak tau.	Jag vet inte.	모르겠습니다.	Nem tudom.	Nevím.	Det ved jeg ikke.	En tiedä.	Nu ştiu.	Jeg vet ikke.	Neviem.	Я не знаю.	Ik weet het niet.	我不知道。	I don't know.	I don't know.	I don't know.	I don't know.	No lo sé.	Je ne sais pas.	Não sei.	Ik weet het niet.	Life
ぜろ:いち:に:さん:し:ご:ろく:しち:はち:きゅう:じゅう	null:eins:zwei:drei:vier:fünf:sechs:sieben:acht:neun:zehn	zero:one:two:three:four:five:six:seven:eight:nine:ten	cero:uno:dos:tres:cuatro:cinco:seis:siete:ocho:nueve:diez	zéro:un:deux:trois:quatre:cinq:six:sept:huit:neuf:dix	zero:uno:due:tre:quattro:cinque:sei:sette:otto:nove:dieci	zero:um:dois:três:quatro:cinco:seis:sete:oito:nove:dez	零:一:二:三:四:五:六:七:八:九:十	ศูนย์:หนึ่ง:สอง:สาม:สี่:ห้า:หก:เจ็ด:แปด:เก้า:สิบ	sıfır:bir:iki:üç:dört:beş:altı:yedi:sekiz:dokuz:on	零:一:二:三:四:五:六:七:八:九:十	صفر:واحد:اثنان:ثلاثة:أربعة:خمسة:ستة:سبعة:ثمانية:تسعة:عشرة	zero:jeden:dwa:trzy:cztery:pięć:sześć:siedem:osiem:dziewięć:dziesięć	μηδέν:ένα:δύο:τρία:τέσσερα:πέντε:έξι:επτά:οκτώ:εννέα:δέκα	nol:satu:dua:tiga:empat:lima:enam:tujuh:delapan:sembilan:sepuluh	noll:ett:två:tre:fyra:fem:sex:sju:åtta:nio:tio	영:하나:둘:셋:넷:다섯:여섯:일곱:여덟:아홉:열 	nulla:egy:kettő:három:négy:öt:hat:hét:nyolc:kilenc:tíz	nula:jedna:dva:tři:čtyři:pět:šest:sedm:osm:devět:deset	nul:et:to:tre:fire:fem:seks:syv:otte:ni:ti	nolla:yksi:kaksi:kolme:neljä:viisi:kuusi:seitsemän:kahdeksan:yhdeksän:kymmenen	zero:unu:doi:trei:patru:cinci:şase:şapte:opt:nouă:zece	null:en:to:tre:fire:fem:seks:syv:åtte:ni:ti	jeden:dva:tri:štyri:päť:šesť:sedem:osem:deväť:desať	ноль:один:два:три:четыре:пять:шесть:семь:восемь:девять:десять	nul:een:twee:drie:vier:vijf:zes:zeven:acht:negen:tien	零:一:二:三:四:五:六:七:八:九:十	zero:one:two:three:four:five:six:seven:eight:nine:ten	zero:one:two:three:four:five:six:seven:eight:nine:ten	zero:one:two:three:four:five:six:seven:eight:nine:ten	zero:one:two:three:four:five:six:seven:eight:nine:ten	cero:uno:dos:tres:cuatro:cinco:seis:siete:ocho:nueve:diez	zéro:un:deux:trois:quatre:cinq:six:sept:huit:neuf:dix	zero:um:dois:três:quatro:cinco:seis:sete:oito:nove:dez	nul:een:twee:drie:vier:vijf:zes:zeven:acht:negen:tien	Number
じゅういち:じゅうに:じゅうさん:じゅうし:じゅうご:じゅうろく:じゅうしち:じゅうはち:じゅうきゅう	elf:zwölf:dreizehn:vierzehn:fünfzehn:sechszehn:siebzehn:achtzehn:neunzehn	eleven:twelve:thirteen:fourteen:fifteen:sixteen:seventeen:eighteen:nineteen	once:doce:trece:catorce:quince:dieciséis:diecisiete:dieciocho:diecinueve	onze:douze:treize:quatorze:quinze:seize:dix-sept:dix-huit:dix-neuf	undici:dodici:tredici:quattordici:quindici	onze:doze:treze:catorze:quinze:dezasseis:dezassete:dezoito:dezanove	十一:十二:十三:十四:十五:十六:十七:十八:十九	สิบเอ็ด:สิบสอง:สิบสาม:สิบสี่:สิบห้า:สิบหก:สิบเจ็ด:สิบแปด:สิบเก้า	on bir:on iki:on üç:on dört:on beş:on altı:on yedi:on sekiz:on dokuz	十一:十二:十三:十四:十五:十六:十七:十八:十九	أحد عشرة:اثنا عشرة:ثلاث عشرة:أربع عشرة:خمس عشرة:ست عشرة:سبع عشرة:ثمان عشرة:تسع عشرة	jedenaście:dwanaście:trzynaście:czternaście:piętnaście:szesnaście:siedemnaście:osiemnaście:dziewiętnaście	έντεκα:δώδεκα:δεκατρία:δεκατέσσερα:δεκαπέντε:δεκαέξι:δεκαεπτά:δεκαοκτώ:δεκαεννέα	sebelas:dua belas:tiga belas:empat belas:lima belas:enam belas:tujuh belas,delapan belas:sembilan belas	elva:tolv:tretton:fjorton:femton:sexton:sjutton:arton:nitton	열하나:열둘:열셋:열넷:열다섯:열여섯:열일곱:열여덟:열아홉	tizenegy:tizenkettő:tizenhárom:tizennégy:tizenöt:tizenhat:tizenhét:tizennyolc:tizenkilenc	jedenáct:dvanáct:třináct:čtrnáct:patnáct:šestnáct:sedmnáct:osmnáct:devatenáct	elleve:tolv:tretten:fjorten:femten:seksten:sytten:atten:nitten	yksitoista:kaksitoista:kolmetoista:neljätoista:viisitoista:kuusitoista:seitsemäntoista:kahdeksantoista:yhdeksäntoista	unsprezece:doisprezece:treisprezece:paisprezece:cincisprezece:şaisprezece:şaptesprezece:optsprezece:nouăsprezece	elleve:tolv:tretten:fjorten:femten:seksten:sytten:atten:nitten	jedenásť:dvanásť:trinásť:štrnásť:pätnásť:šestnásť:sedemnásť:osemnásť:devätnásť	одиннадцать:двенадцать:тринадцать:четырнадцать:пятнадцать:шестнадцать:семнадцать:восемнадцать:девятнадцать	elf:twaalf:dertien:veertien:vijftien:zestien:zeventien:achttien:negentien	十一:十二:十三:十四:十五:十六:十七:十八:十九	eleven:twelve:thirteen:fourteen:fifteen:sixteen:seventeen:eighteen:nineteen	eleven:twelve:thirteen:fourteen:fifteen:sixteen:seventeen:eighteen:nineteen	eleven:twelve:thirteen:fourteen:fifteen:sixteen:seventeen:eighteen:nineteen	eleven:twelve:thirteen:fourteen:fifteen:sixteen:seventeen:eighteen:nineteen	once:doce:trece:catorce:quince:dieciséis:diecisiete:dieciocho:diecinueve	onze:douze:treize:quatorze:quinze:seize:dix-sept:dix-huit:dix-neuf	onze:doze:treze:catorze:quinze:dezasseis:dezassete:dezoito:dezanove	elf:twaalf:dertien:veertien:vijftien:zestien:zeventien:achttien:negentien	Number
にじゅう:さんじゅう:よんじゅう:ごじゅう:ろくじゅう:ななじゅう:はちじゅう:きゅうじゅう	zwanzig:dreißig:vierzig:fünfzig:sechzig:siebzig:achtzig:neunzig	twenty:thirty:forty:fifty:sixty:seventy:eighty:ninety	veinte:treinta:cuarenta:cincuenta:sesenta:setenta:ochenta:noventa	vingt:trente:quarante:cinquante:soixante:soixante-dix:quatre-vingts:quatre-vingt-dix	venti:trenta:quaranta:cinquanta:sessanta:settanta:ottanta:novanta	vinte:trinta:quarenta:cinquenta:sessenta:setenta:oitenta:noventa	二十:三十:四十:五十:六十:七十:八十:九十	ยี่สิบ:สามสิบ:สี่สิบ:ห้าสิบ:หกสิิบ:เจ็ดสิบ:แปดสิบ:เก้าสิบ	yirmi:otuz:kırk:elli:altmış:yetmiş:seksen:doksan	二十:三十:四十:五十:六十:七十:八十:九十	عشرون:ثلاثون:أربعون:خمسون:ستون:سبعون:ثمانون:تسعون	dwadzieścia:trzydzieści:czterdzieści:pięćdziesiąt:sześćdziesiąt:siedemdziesiąt:osiemdziesiąt:dziewięćdziesiąt	είκοσι:τριάντα:σαράντα:πενήντα:εξήντα:εβδομήντα:ογδόντα:ενενήντα	dua puluh:tiga puluh:empat puluh:lima puluh:enam puluh:tujuh puluh:delapan puluh:sembilan puluh	tjugo:trettio:fyrtio:femtio:sextio:sjuttio:åttio:nittio	이십:삼십:사십:오십:육십:칠십:팔십:구십 	húsz:harminc:negyven:ötven:hatvan:hetven:nyolcvan:kilencven	dvacet:třicet:čtyřicet:padesát:šedesát:sedmdesát:osmdesát:devadesát	tyve:tredive:fyrre:halvtreds:tres:halvfjerds:firs:halvfems	kaksikymmentä:kolmekymmentä:neljäkymmentä:viisikymmentä:kuusikymmentä:seitsemänkymmentä:kahdeksankymmentä:yhdeksänkymmentä	douăzeci:treizeci:patruzeci:cincizeci:şaizeci:şaptezeci:optzeci:nouăzeci	tjue:tretti:førti:femti:seksti:sytti:åtti:nitti	dvadsať:tridsať:štyridsať:päťdesiat:šesťdesiat:sedemdesiat:osemdesiat:deväťdesiat	двадцать:тридцать:сорок:пятьдесят:шестьдесят:семьдесят:восемьдесят:девяносто	twintig:dertig:veertig:vijftig:zestig:zeventig:tachtig:negentig	二十:三十:四十:五十:六十:七十:八十:九十	twenty:thirty:forty:fifty:sixty:seventy:eighty:ninety	twenty:thirty:forty:fifty:sixty:seventy:eighty:ninety	twenty:thirty:forty:fifty:sixty:seventy:eighty:ninety	twenty:thirty:forty:fifty:sixty:seventy:eighty:ninety	veinte:treinta:cuarenta:cincuenta:sesenta:setenta:ochenta:noventa	vingt:trente:quarante:cinquante:soixante:soixante-dix:quatre-vingts:quatre-vingt-dix	vinte:trinta:quarenta:cinquenta:sessenta:setenta:oitenta:noventa	twintig:dertig:veertig:vijftig:zestig:zeventig:tachtig:negentig	Number
ひゃく:せん:いちまん:じゅうまん:ひゃくまん	einhundert:eintausend:zehntausend:einhunderttausend:eine Million	one hundred:one thousand:ten thousand:one hundred thousand:one million	cien:mil:diez mil:cien mil:un millón	cent:mille:dix mille:cent mille:un million	cento:mille:diecimila:centomila:un milione	cem:mil:dez mil:cem mil:um milhão	一百:一千:一萬:十萬:百萬	หนึ่งร้อย:หนึ่งพัน:หนึ่งหมื่น:หนึ่งแสน:หนึ่งล้าน	yüz:bin:on bin:yüz bin:bir milyon	一百:一千:一萬:十萬:百萬	مائة:ألف:عشرة آلاف:مائة ألف:مليون	sto:tysiąc:dziesięć tysięcy:sto tysięcy:milion	εκατό:χίλια:δέκα χιλιάδες:εκατό χιλιάδες:ένα εκατομμύριο	seratus:seribu:sepuluh ribu:seratus ribu:sejuta	ett hundra:ett tusen:tiotusen:hundratusen:en miljon	백:천:만:십만:백만 	száz:ezer:tízezer:százezer:egy millió	jedno sto:jeden tisíc:deset tisíc:sto tisíc:jeden milion	et hundrede:et tusinde:et hundrede tusinde:en million	sata:tuhat:kymmenen tuhatta:sata tuhatta:miljoona	o sută:o mie:zece mii:o sută de mii:un milion	hundre:tusen:ti tusen:hundre tusen:en million	sto:tisíc:desaťtisíc:stotisíc:milión	сто:тысяча:десять тысяч:сто тысяч:миллион:	honderd:duizend:tienduizend:honderdduizend:miljoen	一百:一千:一万:十万:一百万	one hundred:one thousand:ten thousand:one hundred thousand:one million	one hundred:one thousand:ten thousand:one hundred thousand:one million	one hundred:one thousand:ten thousand:one hundred thousand:one million	one hundred:one thousand:ten thousand:one hundred thousand:one million	cien:mil:diez mil:cien mil:un millón	cent:mille:dix mille:cent mille:un million	cem:mil:dez mil:cem mil:um milhão	honderd:duizend:tienduizend:honderdduizend:miljoen	Number
はじめまして	Freut mich, Sie kennenzulernen.	Nice to meet you.	Encantada de conocerte.	Ravi de faire votre connaissance.	Piacere di conoscerti.	Muito prazer.	很高興見到你。	ยินดีที่ได้พบคุณ	Tanıştığımıza memnun oldum.	很高興見到你。	تشرفت بمقابلتك.	Miło cię poznać.	Χαίρω πολύ.	Senang ketemu kamu.	Trevligt att träffas.	만나서 반가워요. 	Örülök, hogy megismertem.	Těší mě.	Rart at møde dig.	Mukava tavata.	Mi-a făcut plăcere să te cunosc.	Hyggelig å treffe deg.	Veľmi ma teší.	Приятно познакомиться.	Leuk om je te ontmoeten.	很高兴认识你。	Nice to meet you.	Nice to meet you.	Nice to meet you.	Nice to meet you.	Encantada de conocerte.	Ravi de faire votre connaissance.	Muito prazer.	Leuk om je te ontmoeten.	Communication
%countryからきました	Ich komme aus %country.	I'm from %country.	Soy de los %country.	Je viens des %country.	Sono %country.	Sou dos %country.	我從%country來。	ผมมาจาก%country	Ben %country'danım.	我從%country來。	أنا من %country.	Jestem z %country.	Είμαι από την %country.	Saya dari %country.	Jag är från %country.	나는 %country에서 왔어요. 	%country ból jöttem.	Jsem z %country.	Jeg er fra %country.	Olen %country.	Sunt din %country.	Jeg er fra %country.	Pochádzam z %country.	Я из %country.	Ik kom uit %place.	我来%country国。	I'm from %country.	I'm from %country.	I'm from %country.	I'm from %country.	Soy de los %country.	Je viens des %country.	Sou dos %country.	Ik kom uit %country.	Communication
わたしのなまえは、マイクです	Mein Name ist Mike.	My name is Mike.	Mi nombre es Mike.	Mon nom est Mike.	Mi chiamo Mike.	Chamo-me Mike.	我叫麥克。	ผมชื่อว่าไมค์	Benim adım Mike.	我叫麥克。	أدعى مايك.	Nazywam się Mike.	Ονομάζομαι Μάικ.	Nama saya Mike.	Jag heter Mike.	내 이름은 마이크입니다. 	A nevem Mike.	Jmenuji se Mike.	Mit navn er Mike.	Minun nimeni on Mike.	Mă cheamă Mike.	Mitt navn er Mike.	Volám sa Michal.	Меня зовут Майк.	Mijn naam is Mike.	我叫迈克。	My name is Mike.	My name is Mike.	My name is Mike.	My name is Mike.	Mi nombre es Mike.	Mon nom est Mike.	Chamo-me Mike.	Mijn naam is Mike.	Communication
あなたのなまえは、なんですか?	Wie heißen Sie?	What's your name?	¿como te llamas?	Quel est votre nom ?	Come ti chiami?	Como se chama?	你叫什麼名字？	คุณชื่ออะไร	Senin adın ne?	你叫什麼名字？	ما اسمك؟	Jak masz na imię?	Πώς ονομάζεστε;	Siapa namamu?	Vad heter du?	당신의 이름은 무엇입니까? 	Téged hogy hívnak?	Jak se jmenujete?	Hvad hedder du?	Mikä sinun nimesi on?	Cum te numeşti?	Hva heter du?	Ako sa voláš?	Как вас зовут?	Wat is uw naam?	你叫什么名字?	What's your name?	What's your name?	What's your name?	What's your name?	¿como te llamas?	Quel est votre nom ?	Como se chama?	Wat is uw naam?	Communication
おげんきですか?	Wie geht es Ihnen?	How are you?	¿Cómo estás?	Comment allez-vous ?	Come stai?	Como está?	你好嗎？	คุณเป็นอย่างไรบ้าง	Nasılsın?	你好嗎？	كيف حالك؟	Jak się masz?	Τι κάνετε;	Bagaimana keadaanmu?	Hur står det till?	어떻게 지내세요? 	Hogy vagy?	Jak se máte?	Hvordan har du det?	Mitä kuuluu?	Cum îţi merge?	Hvordan går det?	Ako sa máš?	Как дела?	Hoe gaat het met u?	你最近好吗？	How are you?	How are you?	How are you?	How are you?	¿Cómo estás?	Comment allez-vous ?	Como está?	Hoe gaat het met u?	Communication
げんきです	Mir geht es gut.	I'm fine.	Estoy bien.	Je vais bien.	Sto bene.	Bem, muito obrigado.	我很好。	ฉันสบายดี	İyiyim.	我很好。	أنا جيد.	W porządku.	Είμαι καλά.	Saya baik-baik saja.	Bra, tack.	난 괜찮아요. 	Jól vagyok.	Mám se dobře.	Jeg har det fint.	Kiitos, hyvää.	Sunt bine.	Jeg har det bra.	Mám sa dobre.	У меня все хорошо.	Het gaat prima.	我很好。	I'm fine.	I'm fine.	I'm fine.	I'm fine.	Estoy bien.	Je vais bien.	Bem, muito obrigado.	Het gaat prima.	Communication
%languageをはなせますか?	Sprechen Sie %language?	Do you speak %language?	¿Hablas %language?	Parlez-vous %language ?	Parli %language?	Fala %language?	你會說%language嗎？	คุณพูด%languageได้ไหม	%language konuşur musun?	你會說%language嗎？	هل تتحدث %language؟	Znasz %language?	Μιλάτε %language;	Kamu bisa bahasa %language?	Talar du %language?	%language 할 줄 아세요? 	Beszélsz %language?	Mluvíte %language?	Snakker du %language?	Puhutko %language?	Vorbeşti %language?	Snakker du %language?	Hovoríš po %language?	Вы говорите по-%language?	Spreekt u %language?	你会说%language吗？	Do you speak %language?	Do you speak %language?	Do you speak %language?	Do you speak %language?	¿Hablas %language?	Parlez-vous %language ?	Fala %language?	Spreekt u %language?	Communication
わたしは、%languageをはなせません	Ich spreche kein %language.	I don't speak %language.	No hablo %language.	Je ne parle pas %language.	Non parlo %language.	Eu não falo %language.	我不會說%language。	ฉันไม่พูด%language	%language konuşmam.	我不會說%language。	لا أتحدث %language.	Nie znam %language.	Δε μιλάω %language.	Saya enggak bisa bahasa %language.	Jag talar inte %language.	나는 %language 잘 못해요. 	Nem beszélek %language.	Nemluvím %language.	jeg snakker ikke %language.	En puhu %language.	Nu vorbesc %language.	Jeg snakker ikke %language.	Nehovorím po %language.	Я не говорю по-%language.	Ik spreek geen %language.	我不会说%language。	I don't speak %language.	I don't speak %language.	I don't speak %language.	I don't speak %language.	No hablo %language.	Je ne parle pas %language.	Eu não falo %language.	Ik spreek geen %language.	Communication
おいくつですか?	Wie alt sind Sie?	How young are you?	¿Cuántos años tienes?	Quel âge avez-vous ?	Quanti anni hai?	Que idade tem?	你幾歲？	คุณอายุเท่าไหร่	Kaç yaşındasın?	你幾歲？	كم عمرك؟	Ile masz lat?	Πόσο χρονών είστε;	Berapa umurmu?	Hur gammal är du?	몇 살이세요?	Hány éves vagy?	Kolik je vám let?	Hvor gammel er du?	Kuinka vanha olet?	Câţi ani ai?	Hvor gammel er du?	Koľko máš rokov?	Сколько вам лет?	Hoe oud bent u?	你年龄多大？	How young are you?	How young are you?	How young are you?	How young are you?	¿Cuántos años tienes?	Quel âge avez-vous ?	Que idade tem?	Hoe oud bent u?	Communication
あなたは、かわいいですね	Sie sind süß.	You are cute.	Eres lindo.	Vous êtes mignon / mignonne.	Sei carino.	É gira.	你好可愛。	คุณน่ารัก	Sevimlisin.	你好可愛。	أنت لطيف.	Jesteś urocza.	Είστε χαριτωμένος.	Kamu cantik.	Du är söt.	당신은 귀여워요.	Aranyos vagy.	Jste hezká.	Du er sød.	Olet söpö.	Eşti drăguţ.	Du er søt.	Si milá.	Вы очень красивы.	Je bent mooi.	你好可爱。	You are cute.	You are cute.	You are cute.	You are cute.	Eres lindo.	Vous êtes mignon / mignonne.	É gira.	Je bent mooi.	Communication
あなたは、カッコいいですね	Sie sehen gut aus.	You are handsome.	Eres guapo.	Vous êtes beau / belle.	Sei bellissimo.	É bonita.	你好帥。	คุณหล่อ	Yakışıklısın.	你好帥。	أنت وسيم.	Jesteś przystojny.	Είστε όμορφος.	Kamu ganteng.	Du är snygg.	당신은 잘생겼어요.	Jóképű vagy. / Csinos vagy.	Jste hezký.	Du er pæn.	Olet komea.	Eşti frumos.	Du er kjekk.	Si krásna.	Вы отлично выглядите.	Je bent knap.	你好帅。	You are handsome.	You are handsome.	You are handsome.	You are handsome.	Eres guapo.	Vous êtes beau / belle.	É bonita.	Je bent knap.	Communication
しゃしんをとって、いただけないでしょうか?	Würden Sie ein Foto von mir machen?	Could you take a picture of me?	¿Me tomarías una foto?	Pouvez-vous prendre une photo de moi ?	Potresti farmi una foto?	Quer uma foto minha?	可以幫我拍張照嗎？	คุณช่วยถ่ายรูปให้ฉันหน่อยได้ไหม	Bir fotoğrafımı çeker misin?	可以幫我拍張照嗎？	هل تود أخذ صورة لي؟	Zrobisz mi zdjęcie?	Θα με βγάλετε μια φωτογραφία;	Mau foto bareng?	Kan du ta en bild på mig?	제 사진 좀 찍어주시겠어요?	Csinálnál rólam egy képet?	Nechcete si mě vyfotografovat?	Vil du tage et billede af mig?	Ottaisitko minusta kuvan?	Poţi să-mi faci o poză?	Kan du ta et bilde av meg?	Odfotil by si ma, prosím?	Вы меня сфотографируете?	Zou u een foto van mij willen maken?	能给我照张照片吗？	Could you take a picture of me?	Could you take a picture of me?	Could you take a picture of me?	Could you take a picture of me?	¿Me tomarías una foto?	Pouvez-vous prendre une photo de moi ?	Quer uma foto minha?	Zou u een foto van mij willen maken?	Communication
